scan_date,scan_time,rank,ticker,overall_score,technical_score,fundamental_score,news_score,signal,confidence,stars,technical_signal,news_sentiment
2026-07-27,13:58:20,1,ETH-USD,92,100,-1,66,BUY,84,4,BUY,NEUTRAL
2026-07-27,13:58:20,2,NVDA,82,100,77,42,BUY,64,4,BUY,NEUTRAL
2026-07-27,13:58:20,3,AAPL,78,100,54,58,BUY,56,3,BUY,NEUTRAL
2026-07-27,13:58:20,4,META,71,75,77,50,WATCH,42,3,BUY,NEUTRAL
2026-07-27,13:58:20,5,BTC-USD,71,75,-1,58,WATCH,42,3,HOLD,NEUTRAL
2026-07-27,13:58:20,6,GOOGL,34,0,75,58,SELL,32,1,SELL,NEUTRAL
2026-07-27,13:58:20,7,MSFT,29,0,70,42,SELL,42,1,SELL,NEUTRAL
2026-07-27,13:58:20,8,AMZN,29,0,57,58,SELL,42,1,SELL,NEUTRAL
2026-07-27,13:58:20,9,TSLA,24,20,14,50,SELL,52,1,HOLD,NEUTRAL
2026-07-27,15:35:26,1,ETH-USD,92,100,-1,66,BUY,84,4,BUY,NEUTRAL
2026-07-27,15:35:26,2,LINK-USD,92,100,-1,66,BUY,84,4,BUY,NEUTRAL
2026-07-27,15:35:26,3,MA,83,100,70,58,BUY,66,4,BUY,NEUTRAL
2026-07-27,15:35:26,4,TD,83,100,77,50,BUY,66,4,BUY,NEUTRAL
2026-07-27,15:35:26,5,NOVO-B.CO,82,100,67,58,BUY,64,4,BUY,NEUTRAL
2026-07-27,15:35:26,6,V,81,100,70,50,BUY,62,4,BUY,NEUTRAL
2026-07-27,15:35:26,7,SHEL.L,81,100,70,50,BUY,62,4,BUY,NEUTRAL
2026-07-27,15:35:26,8,RY,81,100,64,58,BUY,62,4,BUY,NEUTRAL
2026-07-27,15:35:26,9,LLY,80,100,62,58,BUY,60,4,BUY,NEUTRAL
2026-07-27,15:35:26,10,AAPL,76,100,54,50,BUY,52,3,BUY,NEUTRAL
2026-07-27,15:35:26,11,SIE.DE,75,100,44,58,BUY,50,3,BUY,NEUTRAL
2026-07-27,15:35:26,12,HMC,74,100,40,58,WATCH,48,3,BUY,NEUTRAL
2026-07-27,15:35:26,13,NVDA,74,75,77,66,WATCH,48,3,BUY,NEUTRAL
2026-07-27,15:35:26,14,JPM,73,75,85,50,WATCH,46,3,HOLD,NEUTRAL
2026-07-27,15:35:26,15,ADBE,73,75,80,58,WATCH,46,3,HOLD,NEUTRAL
2026-07-27,15:35:26,16,BHP,73,75,59,90,WATCH,46,3,HOLD,POSITIVE
2026-07-27,15:35:26,17,META,71,75,77,50,WATCH,42,3,BUY,NEUTRAL
2026-07-27,15:35:26,18,BABA,71,75,77,50,WATCH,42,3,HOLD,NEUTRAL
2026-07-27,15:35:26,19,SOL-USD,71,75,-1,58,WATCH,42,3,HOLD,NEUTRAL
2026-07-27,15:35:26,20,LTC-USD,71,75,-1,58,WATCH,42,3,HOLD,NEUTRAL
2026-07-27,15:35:26,21,ALV.DE,68,75,69,50,WATCH,36,3,HOLD,NEUTRAL
2026-07-27,15:35:26,22,TM,67,75,60,58,WATCH,34,3,HOLD,NEUTRAL
2026-07-27,15:35:26,23,BTC-USD,67,75,-1,42,WATCH,34,3,HOLD,NEUTRAL
2026-07-27,15:35:26,24,CBA.AX,66,75,51,66,WATCH,32,3,HOLD,NEUTRAL
2026-07-27,15:35:26,25,ASML.AS,65,75,54,58,WATCH,30,3,BUY,NEUTRAL
2026-07-27,15:35:26,26,SAP.DE,62,50,67,82,WATCH,24,3,SELL,POSITIVE
2026-07-27,15:35:26,27,SHOP,61,75,28,74,WATCH,22,3,BUY,POSITIVE
2026-07-27,15:35:26,28,SONY,60,75,52,34,WATCH,20,3,HOLD,NEGATIVE
2026-07-27,15:35:26,29,AMD,58,75,29,58,WATCH,20,2,BUY,NEUTRAL
2026-07-27,15:35:26,30,CRM,56,50,79,34,WATCH,20,2,SELL,NEGATIVE
2026-07-27,15:35:26,31,SU.PA,53,50,54,58,HOLD,20,2,SELL,NEUTRAL
2026-07-27,15:35:26,32,COST,52,50,39,74,HOLD,20,2,SELL,POSITIVE
2026-07-27,15:35:26,33,NESN.SW,52,50,47,66,HOLD,20,2,BUY,NEUTRAL
2026-07-27,15:35:26,34,AVAX-USD,52,50,-1,58,HOLD,20,2,SELL,NEUTRAL
2026-07-27,15:35:26,35,ETC-USD,52,50,-1,58,HOLD,20,2,SELL,NEUTRAL
2026-07-27,15:35:26,36,BNB-USD,50,50,-1,50,HOLD,20,2,SELL,NEUTRAL
2026-07-27,15:35:26,37,ARB-USD,50,50,-1,50,HOLD,20,2,SELL,NEUTRAL
2026-07-27,15:35:26,38,AVGO,49,25,77,66,HOLD,20,2,SELL,NEUTRAL
2026-07-27,15:35:26,39,TSM,48,25,70,74,HOLD,20,2,HOLD,POSITIVE
2026-07-27,15:35:26,40,ORCL,46,20,85,50,HOLD,20,2,HOLD,NEUTRAL
2026-07-27,15:35:26,41,MSFT,44,25,70,50,HOLD,20,2,SELL,NEUTRAL
2026-07-27,15:35:26,42,AZN.L,42,0,75,100,HOLD,20,2,SELL,POSITIVE
2026-07-27,15:35:26,43,GOOGL,39,0,75,82,SELL,22,1,SELL,POSITIVE
2026-07-27,15:35:26,44,MC.PA,36,0,59,90,SELL,28,1,SELL,POSITIVE
2026-07-27,15:35:26,45,QCOM,35,0,82,50,SELL,30,1,SELL,NEUTRAL
2026-07-27,15:35:26,46,NFLX,33,0,60,74,SELL,34,1,SELL,POSITIVE
2026-07-27,15:35:26,47,XRP-USD,31,25,-1,50,SELL,38,1,SELL,NEUTRAL
2026-07-27,15:35:26,48,ADA-USD,31,25,-1,50,SELL,38,1,SELL,NEUTRAL
2026-07-27,15:35:26,49,DOGE-USD,31,25,-1,50,SELL,38,1,SELL,NEUTRAL
2026-07-27,15:35:26,50,BCH-USD,31,25,-1,50,SELL,38,1,SELL,NEUTRAL
2026-07-27,15:35:26,51,HBAR-USD,31,25,-1,50,SELL,38,1,SELL,NEUTRAL
2026-07-27,15:35:26,52,ICP-USD,31,25,-1,50,SELL,38,1,SELL,NEUTRAL
2026-07-27,15:35:26,53,AMZN,27,0,57,50,SELL,46,1,SELL,NEUTRAL
2026-07-27,15:35:26,54,TSLA,24,20,14,50,SELL,52,1,HOLD,NEUTRAL
2026-07-27,15:35:26,55,WMT,23,0,39,58,SELL,54,1,SELL,NEUTRAL
2026-07-27,15:35:26,56,NEAR-USD,14,0,-1,58,SELL,72,0,SELL,NEUTRAL
2026-07-27,15:35:26,57,DOT-USD,12,0,-1,50,SELL,76,0,SELL,NEUTRAL
2026-07-27,15:35:26,58,XLM-USD,12,0,-1,50,SELL,76,0,SELL,NEUTRAL
