scan_date,scan_time,rank,ticker,score,signal,confidence,stars
2026-07-27,12:37:10,1,AAPL,100,BUY,80,5
2026-07-27,12:37:10,2,NVDA,100,BUY,80,5
2026-07-27,12:37:10,3,ETH-USD,100,BUY,80,5
2026-07-27,12:37:10,4,META,75,BUY,80,3
2026-07-27,12:37:10,5,BTC-USD,75,HOLD,20,3
2026-07-27,12:37:10,6,TSLA,20,HOLD,50,1
2026-07-27,12:37:10,7,MSFT,0,SELL,80,0
2026-07-27,12:37:10,8,GOOGL,0,SELL,80,0
2026-07-27,12:37:10,9,AMZN,0,SELL,80,0
2026-07-27,12:44:16,1,ETH-USD,100,BUY,80,5
2026-07-27,12:44:16,2,NVDA,93,BUY,80,4
2026-07-27,12:44:16,3,AAPL,86,BUY,80,4
2026-07-27,12:44:16,4,META,76,BUY,80,3
2026-07-27,12:44:16,5,BTC-USD,75,HOLD,20,3
2026-07-27,12:44:16,6,GOOGL,22,SELL,80,1
2026-07-27,12:44:16,7,MSFT,21,SELL,80,1
2026-07-27,12:44:16,8,TSLA,18,HOLD,50,0
2026-07-27,12:44:16,9,AMZN,17,SELL,80,0
2026-07-27,13:07:29,1,ETH-USD,90,BUY,80,4
2026-07-27,13:07:29,2,NVDA,83,BUY,66,4
2026-07-27,13:07:29,3,AAPL,79,BUY,58,3
2026-07-27,13:07:29,4,META,72,WATCH,44,3
2026-07-27,13:07:29,5,BTC-USD,69,WATCH,38,3
2026-07-27,13:07:29,6,GOOGL,36,SELL,28,1
2026-07-27,13:07:29,7,MSFT,33,SELL,34,1
2026-07-27,13:07:29,8,AMZN,30,SELL,40,1
2026-07-27,13:07:29,9,TSLA,26,SELL,48,1
